QuestionID,Topic,Difficulty,Question,Options,Answer,Explanation
192,Number Theory,Expert,Is 35 prime?,"['Yes', 'No']",No,35 is No
193,Ratios,Expert,"Ratio 11:5, total=257. Find parts.","['173.69,83.31', '178.69,78.31', '181.69,75.31', '176.69,80.31']","176.69,80.31","Parts=176.69,80.31"
194,Number Theory,Expert,Is 33 prime?,"['Yes', 'No']",No,33 is No
195,Percentages,Expert,What is 30% of 1650?,"[247.5, 123.75, 371.25, 495.0]",495,30% = 30/100. So 30/100 × 1650 = 495.0
196,Probability,Hard,Urn has 4 red and 3 blue. Prob red?,"['4/7', '5/7', '3/7', '4/9']",04-Jul,"Favorable=4, Total=7"
197,Number Theory,Easy,Is 42 prime?,"['Yes', 'No']",No,42 is No
198,Algebra,Hard,Find the roots of x^2 + -9x + 20 = 0,"['(4,5)', '(6,3)', '(5, 4)', '(4,5)']","(5, 4)",Roots are 5 and 4
199,Algebra,Hard,Solve for x: 4x + 20 = 10,"[-2.51, -2.52, -2.5, -2.53]",-2.5,x = (10-20)/4 = -2.5
200,Probability,Expert,Urn has 6 red and 7 blue. Prob red?,"['5/13', '6/13', '7/13', '6/15']",Jun-13,"Favorable=6, Total=13"
201,Algebra,Expert,Solve for x: 9x + 15 = 41,"[2.89, 0.72, 1.45, 2.17]",2.89,x = (41-15)/9 = 2.89
202,Geometry,Easy,Find circumference of circle radius 16 cm.,"[75.4, 50.27, 100.53, 25.13]",100.53,Circumference=2*pi*r=100.53
203,Geometry,Easy,Hypotenuse of right triangle with legs 5 cm and 23 cm?,"[20.01, 12.95, 16.48, 23.54]",23.54,c=sqrt(5^2+23^2)=23.54
204,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
205,Number Theory,Expert,Is 19 prime?,"['Yes', 'No']",Yes,19 is Yes
206,Percentages,Expert,What is 10% of 2250?,"[225.0, 168.75, 56.25, 112.5]",225,10% = 10/100. So 10/100 × 2250 = 225.0
207,Ratios,Expert,"Ratio 16:18, total=317. Find parts.","['149.18,167.82', '146.18,170.82', '151.18,165.82', '154.18,162.82']","149.18,167.82","Parts=149.18,167.82"
208,Geometry,Expert,Find area of circle radius 12 cm.,"[452.39, 226.19, 113.1, 339.29]",452.39,Area=pi*r^2=452.39
209,Percentages,Expert,A value changed by 15% then by 20%. What is the net change?,"['38.0% gain', '46.0% gain', '38.0% loss', '34.0% gain']",38.0% gain,Net change = 15 + 20 + (15*20/100) = 38.0%
210,Algebra,Easy,Find the roots of x^2 + -2x + 0 = 0,"['(0,2)', '(1,1)', '(2, 0)', '(3,-1)']","(2, 0)",Roots are 2 and 0
211,Ratios,Expert,"Ratio 18:13, total=59. Find parts.","['36.26,22.74', '34.26,24.74', '39.26,19.74', '31.259999999999998,27.74']","34.26,24.74","Parts=34.26,24.74"
212,Algebra,Hard,Find the roots of x^2 + 7x + 12 = 0,"['(-2,-5)', '(-4,-3)', '(-3, -4)', '(-4,-3)']","(-3, -4)",Roots are -3 and -4
213,Percentages,Easy,A value changed by 40% then by 20%. What is the net change?,"['76.0% gain', '68.0% gain', '64.0% gain', '68.0% loss']",68.0% gain,Net change = 40 + 20 + (40*20/100) = 68.0%
214,Ratios,Expert,"Ratio 3:15, total=236. Find parts.","['39.33,196.67', '36.33,199.67', '41.33,194.67', '44.33,191.67']","39.33,196.67","Parts=39.33,196.67"
215,Ratios,Expert,"Ratio 9:19, total=172. Find parts.","['57.29,114.71', '55.29,116.71', '60.29,111.71', '52.29,119.71']","55.29,116.71","Parts=55.29,116.71"
216,Geometry,Expert,Find circumference of circle radius 11 cm.,"[34.56, 51.84, 17.28, 69.12]",69.12,Circumference=2*pi*r=69.12
217,Number Theory,Medium,"lcm(6,25)?","[149, 147, 148, 150]",150,LCM=150
218,Ratios,Easy,"Ratio 11:4, total=440. Find parts.","['322.67,117.33', '319.67,120.33', '324.67,115.33', '327.67,112.33']","322.67,117.33","Parts=322.67,117.33"
219,Number Theory,Medium,"lcm(7,12)?","[83, 81, 82, 84]",84,LCM=84
220,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
221,Number Theory,Hard,"gcd(118,40)?","[0, 2, -1, 1]",2,gcd=2
222,Geometry,Easy,Hypotenuse of right triangle with legs 13 cm and 8 cm?,"[12.97, 15.26, 8.39, 10.68]",15.26,c=sqrt(13^2+8^2)=15.26
223,Probability,Medium,Urn has 5 red and 5 blue. Prob red?,"['5/10', '5/12', '6/10', '4/10']",05-Oct,"Favorable=5, Total=10"
224,Geometry,Medium,Find area of triangle with base 39 cm and height 27 cm.,"[394.88, 263.25, 131.62, 526.5]",526.5,Area = 0.5*39*27 = 526.5
225,Algebra,Hard,Solve for x: 2x + 8 = 27,"[4.75, 7.12, 2.38, 9.5]",9.5,x = (27-8)/2 = 9.5
226,Probability,Easy,Urn has 6 red and 6 blue. Prob red?,"['7/12', '5/12', '6/14', '6/12']",06-Dec,"Favorable=6, Total=12"
227,Geometry,Expert,Find area of triangle with base 26 cm and height 11 cm.,"[71.5, 107.25, 35.75, 143.0]",143,Area = 0.5*26*11 = 143.0
228,Number Theory,Hard,"gcd(154,159)?","[1, 0, -1, -2]",1,gcd=1
229,Percentages,Expert,A value changed by 15% then by -30%. What is the net change?,"['27.5% gain', '19.5% gain', '15.5% loss', '19.5% loss']",19.5% loss,Net change = 15 + -30 + (15*-30/100) = -19.5%
230,Algebra,Easy,Find the roots of x^2 + -1x + -2 = 0,"['(2, -1)', '(1,0)', '(3,-2)', '(-1,2)']","(2, -1)",Roots are 2 and -1
231,Ratios,Expert,"Ratio 7:6, total=82. Find parts.","['41.15,40.85', '49.15,32.85', '44.15,37.85', '46.15,35.85']","44.15,37.85","Parts=44.15,37.85"
232,Algebra,Easy,Solve for x: 2x + 11 = 20,"[1.12, 2.25, 3.38, 4.5]",4.5,x = (20-11)/2 = 4.5
233,Geometry,Easy,Hypotenuse of right triangle with legs 9 cm and 13 cm?,"[15.81, 11.07, 8.7, 13.44]",15.81,c=sqrt(9^2+13^2)=15.81
234,Geometry,Easy,Find circumference of circle radius 15 cm.,"[23.56, 70.69, 47.12, 94.25]",94.25,Circumference=2*pi*r=94.25
235,Algebra,Expert,"Solve the system: 8x+6y=54, 5x+2y=32","['(6,2)', '(5,0)', '(7,1)', '(6,1)']","(6,1)","Solved x=6, y=1"
236,Number Theory,Hard,"lcm(8,7)?","[53, 54, 56, 55]",56,LCM=56
237,Geometry,Expert,Hypotenuse of right triangle with legs 16 cm and 9 cm?,"[10.1, 15.61, 12.85, 18.36]",18.36,c=sqrt(16^2+9^2)=18.36
238,Percentages,Hard,A cask of 80L full of wine has 8L drawn and replaced with water. This is done 4 times. How much wine remains (to 2 decimals)?,"[48.29, 44.09, 52.49, 39.89]",52.49,Wine remaining = 80 * (1 - 8/80)^4 = 52.49L
239,Geometry,Medium,Find area of triangle with base 13 cm and height 23 cm.,"[74.75, 112.12, 37.38, 149.5]",149.5,Area = 0.5*13*23 = 149.5
240,Percentages,Medium,A value changed by 15% then by 10%. What is the net change?,"['34.5% loss', '30.5% gain', '26.5% gain', '22.5% loss']",26.5% gain,Net change = 15 + 10 + (15*10/100) = 26.5%
241,Number Theory,Medium,Is 33 prime?,"['Yes', 'No']",No,33 is No
242,Probability,Hard,Urn has 4 red and 3 blue. Prob red?,"['4/7', '4/9', '5/7', '3/7']",04-Jul,"Favorable=4, Total=7"
243,Probability,Expert,Urn has 2 red and 4 blue. Prob red?,"['1/6', '2/6', '3/6', '2/8']",02-Jun,"Favorable=2, Total=6"
244,Algebra,Hard,"Solve the system: 8x+4y=-24, 2x+3y=-2","['(-4,2)', '(-5,1)', '(-4,3)', '(-3,2)']","(-4,2)","Solved x=-4, y=2"
245,Percentages,Hard,A value changed by 30% then by -25%. What is the net change?,"['2.5% loss', '6.5% loss', '10.5% gain', '1.5% gain']",2.5% loss,Net change = 30 + -25 + (30*-25/100) = -2.5%
246,Percentages,Medium,"If 20% of a number is 1310, what is the number?","[6550.0, 5240.0, 3930.0, 2620.0]",6550,x = 1310/(0.2) = 6550.0
247,Probability,Medium,Urn has 2 red and 2 blue. Prob red?,"['1/4', '3/4', '2/4', '2/6']",02-Apr,"Favorable=2, Total=4"
248,Number Theory,Expert,"lcm(23,7)?","[160, 158, 161, 159]",161,LCM=161
249,Probability,Expert,Urn has 6 red and 4 blue. Prob red?,"['7/10', '5/10', '6/12', '6/10']",06-Oct,"Favorable=6, Total=10"
250,Algebra,Expert,"Solve the system: 1x+2y=-9, 3x+5y=-24","['(-2,-3)', '(-3,-3)', '(-4,-4)', '(-3,-2)']","(-3,-3)","Solved x=-3, y=-3"
251,Geometry,Hard,Find area of triangle with base 20 cm and height 10 cm.,"[100.0, 50.0, 25.0, 75.0]",100,Area = 0.5*20*10 = 100.0
252,Number Theory,Easy,Is 20 prime?,"['Yes', 'No']",No,20 is No
253,Number Theory,Medium,"gcd(188,179)?","[-1, -2, 1, 0]",1,gcd=1
254,Percentages,Easy,What is 20% of 4200?,"[210.0, 840.0, 630.0, 420.0]",840,20% = 20/100. So 20/100 × 4200 = 840.0
255,Number Theory,Easy,"lcm(25,22)?","[547, 548, 550, 549]",550,LCM=550
256,Probability,Medium,Urn has 5 red and 4 blue. Prob red?,"['5/9', '5/11', '4/9', '6/9']",05-Sep,"Favorable=5, Total=9"
257,Algebra,Expert,Find the roots of x^2 + 2x + -3 = 0,"['(-3,1)', '(1, -3)', '(0,-2)', '(2,-4)']","(1, -3)",Roots are 1 and -3
258,Geometry,Hard,Hypotenuse of right triangle with legs 14 cm and 16 cm?,"[18.07, 11.69, 21.26, 14.88]",21.26,c=sqrt(14^2+16^2)=21.26
259,Geometry,Medium,Find circumference of circle radius 5 cm.,"[15.71, 23.57, 7.86, 31.42]",31.42,Circumference=2*pi*r=31.42
260,Percentages,Easy,A value changed by 20% then by 20%. What is the net change?,"['44.0% gain', '52.0% loss', '48.0% loss', '40.0% gain']",44.0% gain,Net change = 20 + 20 + (20*20/100) = 44.0%
261,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
262,Geometry,Expert,Find area of triangle with base 9 cm and height 16 cm.,"[36.0, 54.0, 18.0, 72.0]",72,Area = 0.5*9*16 = 72.0
263,Number Theory,Hard,"gcd(32,92)?","[1, 2, 3, 4]",4,gcd=4
264,Geometry,Easy,Find area of triangle with base 31 cm and height 8 cm.,"[31.0, 62.0, 124.0, 93.0]",124,Area = 0.5*31*8 = 124.0
265,Probability,Hard,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
266,Percentages,Medium,A value changed by 25% then by -12.5%. What is the net change?,"['9.38% loss', '5.38% loss', '17.38% loss', '9.38% gain']",9.38% gain,Net change = 25 + -12.5 + (25*-12.5/100) = 9.38%
267,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
268,Number Theory,Hard,"gcd(70,174)?","[0, -1, 1, 2]",2,gcd=2
269,Percentages,Easy,"If 50% of a number is 900, what is the number?","[720.0, 1080.0, 1440.0, 1800.0]",1800,x = 900/(0.5) = 1800.0
270,Algebra,Medium,Find the roots of x^2 + -2x + -3 = 0,"['(3, -1)', '(4,-2)', '(2,0)', '(-1,3)']","(3, -1)",Roots are 3 and -1
271,Number Theory,Hard,Is 42 prime?,"['Yes', 'No']",No,42 is No
272,Number Theory,Expert,Is 46 prime?,"['Yes', 'No']",No,46 is No
273,Geometry,Expert,Find area of triangle with base 27 cm and height 14 cm.,"[189.0, 141.75, 94.5, 47.25]",189,Area = 0.5*27*14 = 189.0
274,Ratios,Easy,"Ratio 17:10, total=385. Find parts.","['244.41,140.59', '242.41,142.59', '239.41,145.59', '247.41,137.59']","242.41,142.59","Parts=242.41,142.59"
275,Number Theory,Expert,"gcd(154,181)?","[-1, 0, -2, 1]",1,gcd=1
276,Percentages,Easy,"If 10% of a number is 1170, what is the number?","[11700.0, 4680.0, 7020.0, 9360.0]",11700,x = 1170/(0.1) = 11700.0
277,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
278,Number Theory,Expert,Is 13 prime?,"['Yes', 'No']",Yes,13 is Yes
279,Ratios,Medium,"Ratio 18:8, total=337. Find parts.","['233.31,103.69', '238.31,98.69', '235.31,101.69', '230.31,106.69']","233.31,103.69","Parts=233.31,103.69"
280,Number Theory,Expert,"lcm(10,19)?","[187, 188, 190, 189]",190,LCM=190
281,Ratios,Hard,"Ratio 17:8, total=176. Find parts.","['119.68,56.32', '124.68,51.32', '121.68,54.32', '116.68,59.32']","119.68,56.32","Parts=119.68,56.32"
282,Algebra,Hard,Find the roots of x^2 + -2x + -15 = 0,"['(5, -3)', '(6,-4)', '(-3,5)', '(4,-2)']","(5, -3)",Roots are 5 and -3
283,Geometry,Hard,Find circumference of circle radius 5 cm.,"[23.57, 7.86, 15.71, 31.42]",31.42,Circumference=2*pi*r=31.42
284,Geometry,Easy,Find area of circle radius 24 cm.,"[452.39, 1809.56, 904.78, 1357.17]",1809.56,Area=pi*r^2=1809.56
285,Ratios,Expert,"Ratio 8:8, total=473. Find parts.","['236.5,236.5', '241.5,231.5', '238.5,234.5', '233.5,239.5']","236.5,236.5","Parts=236.5,236.5"
286,Algebra,Easy,"Solve the system: 4x+4y=12, 1x+4y=-3","['(5,-1)', '(6,-2)', '(4,-3)', '(5,-2)']","(5,-2)","Solved x=5, y=-2"
287,Geometry,Expert,Find area of triangle with base 12 cm and height 4 cm.,"[6.0, 18.0, 24.0, 12.0]",24,Area = 0.5*12*4 = 24.0
288,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
289,Geometry,Hard,Hypotenuse of right triangle with legs 4 cm and 6 cm?,"[7.21, 3.97, 6.13, 5.05]",7.21,c=sqrt(4^2+6^2)=7.21
290,Algebra,Expert,Solve for x: 2x + 13 = 32,"[2.38, 9.5, 7.12, 4.75]",9.5,x = (32-13)/2 = 9.5
291,Percentages,Easy,A value changed by 25% then by 20%. What is the net change?,"['46.0% loss', '50.0% loss', '50.0% gain', '58.0% loss']",50.0% gain,Net change = 25 + 20 + (25*20/100) = 50.0%
292,Geometry,Medium,Find area of triangle with base 25 cm and height 9 cm.,"[28.12, 56.25, 84.38, 112.5]",112.5,Area = 0.5*25*9 = 112.5
293,Ratios,Medium,"Ratio 2:12, total=454. Find parts.","['69.86,384.14', '64.86,389.14', '66.86,387.14', '61.86,392.14']","64.86,389.14","Parts=64.86,389.14"
294,Algebra,Expert,Find the roots of x^2 + -1x + -2 = 0,"['(3,-2)', '(1,0)', '(-1,2)', '(2, -1)']","(2, -1)",Roots are 2 and -1
295,Algebra,Medium,Find the roots of x^2 + 4x + 3 = 0,"['(-2,-2)', '(0,-4)', '(-3,-1)', '(-1, -3)']","(-1, -3)",Roots are -1 and -3
296,Algebra,Expert,Find the roots of x^2 + 3x + 2 = 0,"['(-2,-1)', '(0,-3)', '(-2,-1)', '(-1, -2)']","(-1, -2)",Roots are -1 and -2
297,Ratios,Medium,"Ratio 3:5, total=288. Find parts.","['110.0,178.0', '113.0,175.0', '108.0,180.0', '105.0,183.0']","108.0,180.0","Parts=108.0,180.0"
298,Ratios,Hard,"Ratio 5:11, total=238. Find parts.","['76.38,161.62', '71.38,166.62', '74.38,163.62', '79.38,158.62']","74.38,163.62","Parts=74.38,163.62"
299,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
300,Ratios,Hard,"Ratio 15:19, total=291. Find parts.","['130.38,160.62', '125.38,165.62', '128.38,162.62', '133.38,157.62']","128.38,162.62","Parts=128.38,162.62"
301,Number Theory,Expert,Is 33 prime?,"['Yes', 'No']",No,33 is No
302,Percentages,Easy,What is 50% of 3600?,"[1800.0, 450.0, 1350.0, 900.0]",1800,50% = 50/100. So 50/100 × 3600 = 1800.0
303,Algebra,Hard,"Solve the system: 8x+2y=-26, 4x+8y=8","['(-4,4)', '(-3,3)', '(-4,3)', '(-5,2)']","(-4,3)","Solved x=-4, y=3"
304,Algebra,Expert,Find the roots of x^2 + 3x + -18 = 0,"['(3, -6)', '(-6,3)', '(4,-7)', '(2,-5)']","(3, -6)",Roots are 3 and -6
305,Ratios,Easy,"Ratio 14:10, total=468. Find parts.","['278.0,190.0', '275.0,193.0', '270.0,198.0', '273.0,195.0']","273.0,195.0","Parts=273.0,195.0"
306,Number Theory,Easy,"gcd(128,108)?","[2, 4, 3, 1]",4,gcd=4
307,Percentages,Expert,What is 30% of 1900?,"[427.5, 570.0, 142.5, 285.0]",570,30% = 30/100. So 30/100 × 1900 = 570.0
308,Geometry,Expert,Find circumference of circle radius 14 cm.,"[43.98, 87.96, 65.97, 21.99]",87.96,Circumference=2*pi*r=87.96
309,Ratios,Hard,"Ratio 5:7, total=325. Find parts.","['140.42,184.58', '135.42,189.58', '132.42,192.58', '137.42,187.58']","135.42,189.58","Parts=135.42,189.58"
310,Ratios,Medium,"Ratio 2:2, total=202. Find parts.","['101.0,101.0', '106.0,96.0', '98.0,104.0', '103.0,99.0']","101.0,101.0","Parts=101.0,101.0"
311,Number Theory,Expert,"gcd(83,137)?","[1, -1, -2, 0]",1,gcd=1
312,Algebra,Easy,Solve for x: 12x + 14 = 40,"[1.08, 1.63, 2.17, 0.54]",2.17,x = (40-14)/12 = 2.17
313,Percentages,Easy,A cask of 40L full of wine has 10L drawn and replaced with water. This is done 4 times. How much wine remains (to 2 decimals)?,"[10.63, 11.65, 12.66, 9.62]",12.66,Wine remaining = 40 * (1 - 10/40)^4 = 12.66L
314,Probability,Expert,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
315,Percentages,Medium,A cask of 60L full of wine has 6L drawn and replaced with water. This is done 4 times. How much wine remains (to 2 decimals)?,"[29.92, 33.07, 39.37, 36.22]",39.37,Wine remaining = 60 * (1 - 6/60)^4 = 39.37L
316,Algebra,Hard,Solve for x: 12x + 17 = 15,"[-0.2, -0.18, -0.19, -0.17]",-0.17,x = (15-17)/12 = -0.17
317,Percentages,Medium,"In an election with 2 candidates, the winner got 70% of votes and won by 1800 votes. Find total votes cast.","[4500, 4499, 4498, 4497]",4500,100% = 1800/(0.4) = 4500
318,Number Theory,Hard,Is 36 prime?,"['Yes', 'No']",No,36 is No
319,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
320,Probability,Medium,Urn has 5 red and 3 blue. Prob red?,"['5/10', '4/8', '6/8', '5/8']",05-Aug,"Favorable=5, Total=8"
321,Probability,Easy,Urn has 5 red and 5 blue. Prob red?,"['5/12', '4/10', '6/10', '5/10']",05-Oct,"Favorable=5, Total=10"
322,Geometry,Medium,Find area of circle radius 22 cm.,"[1140.4, 380.13, 760.26, 1520.53]",1520.53,Area=pi*r^2=1520.53
323,Number Theory,Medium,"gcd(88,116)?","[2, 3, 4, 1]",4,gcd=4
324,Number Theory,Medium,"lcm(11,15)?","[163, 165, 162, 164]",165,LCM=165
325,Algebra,Easy,"Solve the system: 8x+4y=-4, 4x+7y=13","['(-2,3)', '(-3,2)', '(-1,3)', '(-2,4)']","(-2,3)","Solved x=-2, y=3"
326,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
327,Geometry,Hard,Hypotenuse of right triangle with legs 18 cm and 18 cm?,"[25.46, 17.82, 21.64, 14.0]",25.46,c=sqrt(18^2+18^2)=25.46
328,Geometry,Medium,Find circumference of circle radius 12 cm.,"[37.7, 75.4, 56.55, 18.85]",75.4,Circumference=2*pi*r=75.4
329,Ratios,Medium,"Ratio 2:10, total=333. Find parts.","['52.5,280.5', '55.5,277.5', '60.5,272.5', '57.5,275.5']","55.5,277.5","Parts=55.5,277.5"
330,Algebra,Hard,Solve for x: 8x + 19 = 16,"[-0.41, -0.4, -0.39, -0.38]",-0.38,x = (16-19)/8 = -0.38
331,Geometry,Expert,Hypotenuse of right triangle with legs 18 cm and 18 cm?,"[14.0, 25.46, 21.64, 17.82]",25.46,c=sqrt(18^2+18^2)=25.46
332,Algebra,Medium,"Solve the system: 8x+3y=-17, 1x+1y=1","['(-4,6)', '(-3,5)', '(-5,4)', '(-4,5)']","(-4,5)","Solved x=-4, y=5"
333,Algebra,Medium,Solve for x: 4x + 1 = 14,"[2.44, 0.81, 1.62, 3.25]",3.25,x = (14-1)/4 = 3.25
334,Number Theory,Expert,Is 41 prime?,"['Yes', 'No']",Yes,41 is Yes
335,Percentages,Easy,A cask of 80L full of wine has 5L drawn and replaced with water. This is done 2 times. How much wine remains (to 2 decimals)?,"[53.44, 59.06, 70.31, 64.69]",70.31,Wine remaining = 80 * (1 - 5/80)^2 = 70.31L
336,Percentages,Expert,"If 10% of a number is 290, what is the number?","[2900.0, 2320.0, 1160.0, 1740.0]",2900,x = 290/(0.1) = 2900.0
337,Number Theory,Hard,"lcm(13,30)?","[389, 388, 387, 390]",390,LCM=390
338,Probability,Expert,Urn has 3 red and 7 blue. Prob red?,"['3/12', '2/10', '4/10', '3/10']",03-Oct,"Favorable=3, Total=10"
339,Ratios,Easy,"Ratio 4:14, total=244. Find parts.","['54.22,189.78', '59.22,184.78', '51.22,192.78', '56.22,187.78']","54.22,189.78","Parts=54.22,189.78"
340,Percentages,Easy,"If 10% of a number is 1320, what is the number?","[5280.0, 7920.0, 10560.0, 13200.0]",13200,x = 1320/(0.1) = 13200.0
341,Number Theory,Easy,Is 12 prime?,"['Yes', 'No']",No,12 is No
342,Algebra,Medium,"Solve the system: 8x+5y=35, 1x+2y=3","['(5,0)', '(6,-1)', '(4,-2)', '(5,-1)']","(5,-1)","Solved x=5, y=-1"
343,Percentages,Medium,A cask of 50L full of wine has 10L drawn and replaced with water. This is done 2 times. How much wine remains (to 2 decimals)?,"[26.88, 32.0, 24.32, 29.44]",32,Wine remaining = 50 * (1 - 10/50)^2 = 32.0L
344,Number Theory,Expert,Is 44 prime?,"['Yes', 'No']",No,44 is No
345,Geometry,Expert,Hypotenuse of right triangle with legs 7 cm and 6 cm?,"[6.45, 9.22, 5.07, 7.84]",9.22,c=sqrt(7^2+6^2)=9.22
346,Probability,Medium,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
347,Number Theory,Expert,"lcm(5,25)?","[22, 25, 23, 24]",25,LCM=25
348,Algebra,Hard,"Solve the system: 7x+7y=21, 3x+7y=37","['(-3,7)', '(-5,6)', '(-4,7)', '(-4,8)']","(-4,7)","Solved x=-4, y=7"
349,Percentages,Hard,"If 30% of a number is 1870, what is the number?","[2493.33, 6233.33, 4986.66, 3740.0]",6233.33,x = 1870/(0.3) = 6233.33
350,Geometry,Hard,Find area of triangle with base 9 cm and height 4 cm.,"[4.5, 18.0, 9.0, 13.5]",18,Area = 0.5*9*4 = 18.0
351,Geometry,Easy,Find area of triangle with base 9 cm and height 9 cm.,"[10.12, 30.38, 20.25, 40.5]",40.5,Area = 0.5*9*9 = 40.5
352,Percentages,Easy,What is 50% of 2350?,"[1175.0, 587.5, 881.25, 293.75]",1175,50% = 50/100. So 50/100 × 2350 = 1175.0
353,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
354,Probability,Expert,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
355,Number Theory,Medium,Is 34 prime?,"['Yes', 'No']",No,34 is No
356,Algebra,Medium,Find the roots of x^2 + 1x + -2 = 0,"['(-3,2)', '(-1,0)', '(-2, 1)', '(1,-2)']","(-2, 1)",Roots are -2 and 1
357,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
358,Geometry,Expert,Find area of triangle with base 27 cm and height 12 cm.,"[40.5, 162.0, 121.5, 81.0]",162,Area = 0.5*27*12 = 162.0
359,Number Theory,Medium,"lcm(8,9)?","[72, 70, 69, 71]",72,LCM=72
360,Geometry,Expert,Find circumference of circle radius 16 cm.,"[50.27, 25.13, 75.4, 100.53]",100.53,Circumference=2*pi*r=100.53
361,Geometry,Hard,Hypotenuse of right triangle with legs 9 cm and 19 cm?,"[21.02, 14.71, 11.56, 17.87]",21.02,c=sqrt(9^2+19^2)=21.02
362,Geometry,Hard,Hypotenuse of right triangle with legs 18 cm and 22 cm?,"[15.64, 24.17, 28.43, 19.9]",28.43,c=sqrt(18^2+22^2)=28.43
363,Geometry,Expert,Find area of circle radius 5 cm.,"[78.54, 19.64, 58.91, 39.27]",78.54,Area=pi*r^2=78.54
364,Ratios,Expert,"Ratio 8:16, total=458. Find parts.","['157.67,300.33', '152.67,305.33', '154.67,303.33', '149.67,308.33']","152.67,305.33","Parts=152.67,305.33"
365,Probability,Expert,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
366,Algebra,Hard,"Solve the system: 3x+7y=34, 7x+2y=22","['(2,4)', '(3,4)', '(2,5)', '(1,3)']","(2,4)","Solved x=2, y=4"
367,Number Theory,Expert,Is 12 prime?,"['Yes', 'No']",No,12 is No
368,Geometry,Easy,Find area of triangle with base 19 cm and height 25 cm.,"[118.75, 237.5, 59.38, 178.12]",237.5,Area = 0.5*19*25 = 237.5
369,Number Theory,Expert,"lcm(30,18)?","[88, 89, 90, 87]",90,LCM=90
370,Geometry,Medium,Hypotenuse of right triangle with legs 19 cm and 21 cm?,"[15.58, 24.07, 28.32, 19.82]",28.32,c=sqrt(19^2+21^2)=28.32
371,Probability,Expert,Urn has 6 red and 7 blue. Prob red?,"['6/15', '5/13', '7/13', '6/13']",Jun-13,"Favorable=6, Total=13"
